"Part";"Value";"Device";"Package";"Description";"";
"C2";"1uF";"CAPC0603";"C0603";"";"";
"C3";"1uF";"CAPC0603";"C0603";"";"";
"C5";"100uF";"CAP-KEMETKN";"KEMET-KN";"";"";
"C6";"100uF";"CAP-KEMETKN";"KEMET-KN";"";"";
"D1";"SS34";"DIODE-SCHOTTKYDO-214AC";"DO-214AC";"304020028";"";
"L2";"CDRH127L125NP";"IND-SUMIDACDRH127L125";"SUMIDA-CDRH127L125";"";"";
"R2";"0.16R";"RESISTOR1206";"R1206";"";"";
"TP1";"";"TESTPOINTPAD";"TESTPOINT_PAD_2MM";"Test Point";"";
"U1";"XL6013";"XLSEMI-XL6013";"SOP8";"";"";
"X1";"LED2-";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X2";"LED3-";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X3";"LED4-";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X4";"LED1+";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X5";"12V";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X6";"LED1-";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X7";"LED2+";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X8";"LED3+";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X9";"LED4+";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
"X10";"GND";"SOLDERPAD4X5";"SOLDERPAD-4X5";"";"";
